time,entries_daily,entries_daily_0_modified
1546344000,0,0.01
1546430400,24,24.00
1546516800,70,70.00
1546603200,36,36.00
1546689600,39,39.00
1546776000,89,89.00
1546862400,806,806.00
1546948800,442,442.00
1547035200,552,552.00
1547121600,524,524.00
1547208000,636,636.00
1547294400,618,618.00
1547380800,128,128.00
1547467200,778,778.00
1547553600,458,458.00
1547640000,446,446.00
1547726400,490,490.00
1547812800,678,678.00
1547899200,581,581.00
1547985600,0,0.01
1548072000,796,796.00
1548158400,446,446.00
1548244800,464,464.00
1548331200,578,578.00
1548417600,852,852.00
1548504000,504,504.00
1548590400,164,164.00
1548676800,839,839.00
1548763200,453,453.00
1548849600,500,500.00
1548936000,560,560.00
1549022400,680,680.00
1549108800,213,213.00
1549195200,96,96.00
1549281600,317,317.00
1549368000,253,253.00
1549454400,293,293.00
1549540800,311,311.00
1549627200,314,314.00
1549713600,0,0.01
1549800000,0,0.01
1549886400,0,0.01
1549972800,0,0.01
1550059200,0,0.01
1550145600,0,0.01
1550232000,0,0.01
1550318400,0,0.01
1550404800,0,0.01
1550491200,0,0.01
1550577600,0,0.01
1550664000,0,0.01
1550750400,0,0.01
1550836800,0,0.01
1550923200,0,0.01
1551009600,0,0.01
1551096000,337,337.00
1551182400,259,259.00
1551268800,310,310.00
1551355200,297,297.00
1551441600,346,346.00
1551528000,210,210.00
1551614400,97,97.00
1551700800,385,385.00
1551787200,318,318.00
1551873600,274,274.00
1551960000,288,288.00
1552046400,318,318.00
1552132800,211,211.00
1552219200,96,96.00
1552305600,361,361.00
1552392000,222,222.00
1552478400,310,310.00
1552564800,297,297.00
1552651200,318,318.00
1552737600,211,211.00
1552824000,96,96.00
1552910400,361,361.00
1552996800,222,222.00
1553083200,310,310.00
1553169600,297,297.00
1553256000,318,318.00
1553342400,211,211.00
1553428800,96,96.00
1553515200,479,479.00
1553601600,309,309.00
1553688000,360,360.00
1553774400,365,365.00
1553860800,385,385.00
1553947200,248,248.00
1554033600,96,96.00
1554120000,426,426.00
1554206400,344,344.00
1554292800,326,326.00
1554379200,380,380.00
1554465600,372,372.00
1554552000,233,233.00
1554638400,65,65.00
1554724800,135,135.00
1554811200,267,267.00
1554897600,178,178.00
1554984000,187,187.00
1555070400,117,117.00
1555156800,112,112.00
1555243200,59,59.00
1555329600,73,73.00
1555416000,118,118.00
1555502400,110,110.00
1555588800,123,123.00
1555675200,101,101.00
1555761600,73,73.00
1555848000,40,40.00
1555934400,0,0.01
1556020800,323,323.00
1556107200,428,428.00
1556193600,393,393.00
1556280000,351,351.00
1556366400,319,319.00
1556452800,128,128.00
1556539200,448,448.00
1556625600,349,349.00
1556712000,0,0.01
1556798400,266,266.00
1556884800,104,104.00
1556971200,221,221.00
1557057600,80,80.00
1557144000,407,407.00
1557230400,286,286.00
1557316800,0,0.01
1557403200,352,352.00
1557489600,384,384.00
1557576000,271,271.00
1557662400,103,103.00
1557748800,516,516.00
1557835200,311,311.00
1557921600,326,326.00
1558008000,366,366.00
1558094400,394,394.00
1558180800,267,267.00
1558267200,75,75.00
1558353600,437,437.00
1558440000,339,339.00
1558526400,345,345.00
1558612800,363,363.00
1558699200,387,387.00
1558785600,231,231.00
1558872000,90,90.00
1558958400,434,434.00
1559044800,273,273.00
1559131200,330,330.00
1559217600,0,0.01
1559304000,430,430.00
1559390400,199,199.00
1559476800,53,53.00
1559563200,436,436.00
1559649600,349,349.00
1559736000,329,329.00
1559822400,262,262.00
1559908800,389,389.00
1559995200,240,240.00
1560081600,88,88.00
1560168000,0,0.01
1560254400,360,360.00
1560340800,332,332.00
1560427200,324,324.00
1560513600,386,386.00
1560600000,241,241.00
1560686400,69,69.00
1560772800,443,443.00
1560859200,369,369.00
1560945600,343,343.00
1561032000,373,373.00
1561118400,431,431.00
1561204800,233,233.00
1561291200,52,52.00
1561377600,432,432.00
1561464000,546,546.00
1561550400,454,454.00
1561636800,383,383.00
1561723200,440,440.00
1561809600,213,213.00
1561896000,66,66.00
1561982400,239,239.00
1562068800,82,82.00
1562155200,128,128.00
1562241600,134,134.00
1562328000,238,238.00
1562414400,188,188.00
1562500800,96,96.00
1562587200,134,134.00
1562673600,152,152.00
1562760000,207,207.00
1562846400,169,169.00
1562932800,165,165.00
1563019200,140,140.00
1563105600,0,0.01
1563192000,140,140.00
1563278400,283,283.00
1563364800,216,216.00
1563451200,180,180.00
1563537600,173,173.00
1563624000,162,162.00
1563710400,56,56.00
1563796800,97,97.00
1563883200,120,120.00
1563969600,101,101.00
1564056000,175,175.00
1564142400,76,76.00
1564228800,133,133.00
1564315200,46,46.00
1564401600,102,102.00
1564488000,84,84.00
1564574400,115,115.00
1564660800,109,109.00
1564747200,96,96.00
1564833600,141,141.00
1564920000,44,44.00
1565006400,88,88.00
1565092800,90,90.00
1565179200,94,94.00
1565265600,103,103.00
1565352000,83,83.00
1565438400,129,129.00
1565524800,39,39.00
1565611200,85,85.00
1565697600,101,101.00
1565784000,46,46.00
1565870400,0,0.01
1565956800,38,38.00
1566043200,135,135.00
1566129600,60,60.00
1566216000,94,94.00
1566302400,123,123.00
1566388800,138,138.00
1566475200,134,134.00
1566561600,0,0.01
1566648000,146,146.00
1566734400,57,57.00
1566820800,143,143.00
1566907200,143,143.00
1566993600,156,156.00
1567080000,126,126.00
1567166400,117,117.00
1567252800,165,165.00
1567339200,84,84.00
1567425600,0,0.01
1567512000,0,0.01
1567598400,0,0.01
1567684800,0,0.01
1567771200,0,0.01
1567857600,0,0.01
1567944000,0,0.01
1568030400,0,0.01
1568116800,0,0.01
1568203200,0,0.01
1568289600,0,0.01
1568376000,0,0.01
1568462400,0,0.01
1568548800,0,0.01
1568635200,268,268.00
1568721600,222,222.00
1568808000,135,135.00
1568894400,222,222.00
1568980800,186,186.00
1569067200,198,198.00
1569153600,80,80.00
1569240000,212,212.00
1569326400,208,208.00
1569412800,157,157.00
1569499200,211,211.00
1569585600,161,161.00
1569672000,272,272.00
1569758400,73,73.00
1569844800,225,225.00
1569931200,335,335.00
1570017600,271,271.00
1570104000,304,304.00
1570190400,290,290.00
1570276800,284,284.00
1570363200,85,85.00
1570449600,336,336.00
1570536000,297,297.00
1570622400,249,249.00
1570708800,273,273.00
1570795200,249,249.00
1570881600,302,302.00
1570968000,76,76.00
1571054400,323,323.00
1571140800,338,338.00
1571227200,212,212.00
1571313600,281,281.00
1571400000,274,274.00
1571486400,277,277.00
1571572800,73,73.00
1571659200,118,118.00
1571745600,192,192.00
1571832000,126,126.00
1571918400,216,216.00
1572004800,126,126.00
1572091200,44,44.00
1572177600,74,74.00
1572264000,64,64.00
1572350400,75,75.00
1572436800,47,47.00
1572523200,46,46.00
1572609600,0,0.01
1572696000,41,41.00
1572782400,78,78.00
1572868800,337,337.00
1572955200,285,285.00
1573041600,244,244.00
1573128000,276,276.00
1573214400,297,297.00
1573300800,271,271.00
1573387200,74,74.00
1573473600,0,0.01
1573560000,283,283.00
1573646400,291,291.00
1573732800,288,288.00
1573819200,299,299.00
1573905600,259,259.00
1573992000,85,85.00
1574078400,334,334.00
1574164800,303,303.00
1574251200,264,264.00
1574337600,294,294.00
1574424000,278,278.00
1574510400,197,197.00
1574596800,86,86.00
1574683200,285,285.00
1574769600,266,266.00
1574856000,202,202.00
1574942400,264,264.00
1575028800,310,310.00
1575115200,228,228.00
1575201600,76,76.00
1575288000,325,325.00
1575374400,270,270.00
1575460800,244,244.00
1575547200,0,0.01
1575633600,274,274.00
1575720000,237,237.00
1575806400,82,82.00
1575892800,314,314.00
1575979200,247,247.00
1576065600,229,229.00
1576152000,223,223.00
1576238400,306,306.00
1576324800,244,244.00
1576411200,83,83.00
1576497600,284,284.00
1576584000,219,219.00
1576670400,218,218.00
1576756800,227,227.00
1576843200,276,276.00
1576929600,139,139.00
1577016000,64,64.00
1577102400,50,50.00
1577188800,30,30.00
1577275200,0,0.01
1577361600,49,49.00
1577448000,26,26.00
1577534400,51,51.00
1577620800,46,46.00
1577707200,70,70.00
1577793600,78,78.00
1577880000,0,0.01
1577966400,126,126.00
1578052800,116,116.00
1578139200,47,47.00
1578225600,77,77.00
1578312000,331,331.00
1578398400,210,210.00
1578484800,211,211.00
1578571200,207,207.00
1578657600,340,340.00
1578744000,335,335.00
1578830400,82,82.00
1578916800,327,327.00
1579003200,243,243.00
1579089600,195,195.00
1579176000,287,287.00
1579262400,268,268.00
1579348800,288,288.00
1579435200,157,157.00
1579521600,213,213.00
1579608000,254,254.00
1579694400,215,215.00
1579780800,232,232.00
1579867200,278,278.00
1579953600,279,279.00
1580040000,79,79.00
1580126400,332,332.00
1580212800,261,261.00
1580299200,268,268.00
1580385600,235,235.00
1580472000,295,295.00
1580558400,260,260.00
1580644800,93,93.00
1580731200,294,294.00
1580817600,222,222.00
1580904000,247,247.00
1580990400,211,211.00
1581076800,331,331.00
1581163200,264,264.00
1581249600,159,159.00
1581336000,332,332.00
1581422400,234,234.00
1581508800,215,215.00
1581595200,271,271.00
1581681600,271,271.00
1581768000,141,141.00
1581854400,59,59.00
1581940800,0,0.01
1582027200,0,0.01
1582113600,0,0.01
1582200000,0,0.01
1582286400,0,0.01
1582372800,0,0.01
1582459200,0,0.01
1582545600,0,0.01
1582632000,0,0.01
1582718400,0,0.01
1582804800,0,0.01
1582891200,0,0.01
1582977600,0,0.01
1583064000,0,0.01
1583150400,330,330.00
1583236800,264,264.00
1583323200,186,186.00
1583409600,264,264.00
1583496000,286,286.00
1583582400,286,286.00
1583668800,73,73.00
1583755200,281,281.00
1583841600,228,228.00
1583928000,167,167.00
1584014400,291,291.00
1584100800,342,342.00
1584187200,143,143.00
1584273600,94,94.00